,company_id,sector,segment,industry,company_size,revenue
0,comp_df0a0c0bd619,sec_07f5ebaa60c6,Public_Small_Medium,ind_d2091f85a3a3,50,105402
1,comp_1e8c0f0ab24c,sec_9d370c38febe,Small_business,ind_6be1923b9422,28,107905
2,comp_7b5d176f09b3,sec_5fb21c55bb11,Business_Scale,ind_5fb21c55bb11,5000,248435
3,comp_d07c716a7b02,sec_1bc3700e30b8,Public_Small_Medium,ind_11d103ed33f7,100,111632
4,comp_ca8821847ff0,sec_1bc3700e30b8,Public_Large,ind_5ffda163ccd7,50,106819
5,comp_4fc3fc0c8cbc,sec_1bc3700e30b8,Public_Small_Medium,ind_11d103ed33f7,250,107724
6,comp_4d0d0ce225b5,sec_07f5ebaa60c6,Public_Small_Medium,ind_f2f98412ca9a,250,106761
7,comp_5d304693547b,sec_28f0e3119b87,Small_business,ind_28f0e3119b87,60,106140
8,comp_e80c4dc61f51,sec_1a54105881cc,Public_Small_Medium,ind_f069a08f84f4,79,106355
9,comp_490e525fa69d,sec_07f5ebaa60c6,Public_Small_Medium,ind_d2091f85a3a3,50,105026
10,comp_c7b92505e46d,sec_9d370c38febe,Small_business,ind_316195b443c6,61,105190
11,comp_072878f5b361,sec_9d370c38febe,Small_business,ind_316195b443c6,29,111904
12,comp_2ed8e938a27b,sec_1bc3700e30b8,Public_Small_Medium,ind_5ffda163ccd7,100,108959
13,comp_da3d65e01cde,sec_9d370c38febe,Business_Scale,ind_68dcca58a1ed,1812,119638
14,comp_3681c0fe36a2,sec_9d8153193942,Small_business,ind_135b1d02b8a4,88,110030
15,comp_5bed561c2856,sec_07f5ebaa60c6,Public_Small_Medium,ind_4be77ceafe79,500,107903
16,comp_76ae50ceaa20,sec_9d370c38febe,Small_business,ind_316195b443c6,100,110197
17,comp_2f0f2af90281,sec_28f0e3119b87,Large_business,ind_4e69825be105,47,107412
18,comp_976bf7014435,sec_1bc3700e30b8,Public_Large,ind_5ffda163ccd7,1000,110996
19,comp_bbbc8154b300,sec_1bc3700e30b8,Public_Large,ind_34ea208071c4,5000,110362
20,comp_ae6d39fc23bd,sec_5fb21c55bb11,Commercial_Scale,ind_5fb21c55bb11,64,106795
21,comp_a8f9661f90a7,sec_1bc3700e30b8,Public_Small_Medium,ind_34ea208071c4,5000,108220
22,comp_63510db13cbb,sec_1bc3700e30b8,Public_Large,ind_5ffda163ccd7,500,106183
23,comp_0bef331e580f,sec_1bc3700e30b8,Public_Large,ind_5ffda163ccd7,100,105725
24,comp_42a46c4cedb2,sec_9d370c38febe,Medium_business,ind_5a85cf5980c3,500,109417
25,comp_2d06c363dbfc,sec_e61177ed3f58,Small_business,ind_87e668429aa4,92,103431
26,comp_01947a8e8866,sec_9d8153193942,Small_business,ind_135b1d02b8a4,40,102772
27,comp_5bb2a9402dee,sec_e61177ed3f58,Business_Scale,ind_17fc30c258ad,1961,112998
28,comp_879cc9eecb8c,sec_07f5ebaa60c6,Public_Large,ind_f2f98412ca9a,50,108260
29,comp_b5e8d854fdf1,sec_1bc3700e30b8,Public_Small_Medium,ind_24d25168a608,100,101743
30,comp_791512a319bb,sec_1bc3700e30b8,Public_Small_Medium,ind_11d103ed33f7,23,110420
31,comp_141dac1ed456,sec_9d8153193942,Small_business,ind_135b1d02b8a4,265,108550
32,comp_d5a081a054ea,sec_1bc3700e30b8,Public_Large,ind_5ffda163ccd7,5000,109569
33,comp_58fa37348b2f,sec_e61177ed3f58,Large_business,ind_6ea14342a713,321,108175
34,comp_3a21d97f263e,sec_9d370c38febe,Small_business,ind_316195b443c6,68,105643
35,comp_af55161b7cc7,sec_1bc3700e30b8,Public_Small_Medium,ind_11d103ed33f7,100,107472
36,comp_cddb8706be59,sec_5fb21c55bb11,Commercial_Scale,ind_5fb21c55bb11,1000,339879
37,comp_fe247da2a073,sec_1bc3700e30b8,Public_Small_Medium,ind_70e651d86261,50,102353
38,comp_6ee21b57965e,sec_1a54105881cc,Public_Small_Medium,ind_f069a08f84f4,111,102701
39,comp_4b93a575c690,sec_1bc3700e30b8,Public_Large,ind_5ffda163ccd7,1000,108478
40,comp_c45aaf47f7dc,sec_e61177ed3f58,Small_business,ind_17fc30c258ad,150,110638
41,comp_3313a8014dcd,sec_9d370c38febe,Large_business,ind_316195b443c6,123,104180
42,comp_0452319680d9,sec_5fb21c55bb11,Large_business,ind_5fb21c55bb11,823,113507
43,comp_d591915a8261,sec_1a54105881cc,Public_Large,ind_c3c0ab208b3b,38,108812
44,comp_977a66ce61ca,sec_5fb21c55bb11,Commercial_Scale,ind_5fb21c55bb11,5001,346087
45,comp_44a00c948a0e,sec_1a54105881cc,Public_Large,ind_c3c0ab208b3b,160,124106
46,comp_924136190c9a,sec_07f5ebaa60c6,Public_Small_Medium,ind_d2091f85a3a3,50,103795
47,comp_6e6da5b64c40,sec_28f0e3119b87,Large_business,ind_28f0e3119b87,500,109027
48,comp_609225cfc5a6,sec_9d370c38febe,Small_business,ind_316195b443c6,28,106775
49,comp_9cfe5b0d63fb,sec_5fb21c55bb11,Small_business,ind_5fb21c55bb11,296,123264
50,comp_adc5b72c63d4,sec_5fb21c55bb11,Small_business,ind_5fb21c55bb11,28,105047
51,comp_7651bae1dd20,sec_1bc3700e30b8,Public_Large,ind_5ffda163ccd7,5000,103998
52,comp_ddf7ac331fc2,sec_e61177ed3f58,Small_business,ind_87e668429aa4,91,100975
53,comp_c050eeb339fc,sec_07f5ebaa60c6,Public_Large,ind_f2f98412ca9a,272,108897
54,comp_c8da608e4ffb,sec_1a54105881cc,Public_Large,ind_810e67ec1ed5,1000,106765
55,comp_f86b4870a5a5,sec_28f0e3119b87,Small_business,ind_28f0e3119b87,28,108120
56,comp_8ee83512e33f,sec_9d8153193942,Medium_business,ind_135b1d02b8a4,761,129463
57,comp_55d2eef39ecd,sec_9d8153193942,Small_business,ind_135b1d02b8a4,20,107527
58,comp_0700b815852e,sec_9d370c38febe,Small_business,ind_316195b443c6,44,112956
59,comp_9f8e71012003,sec_9d370c38febe,Small_business,ind_316195b443c6,47,108708
60,comp_6f1b3b3870cb,sec_1bc3700e30b8,Public_Small_Medium,ind_70e651d86261,50,103428
61,comp_fb50d6c5563e,sec_none,Medium_business,ind_c62262806778,131,106597
62,comp_6d7588e9e681,sec_07f5ebaa60c6,Public_Large,ind_a6e9857962ea,250,101723
63,comp_97042824058d,sec_1bc3700e30b8,Public_Large,ind_34ea208071c4,150,102698
64,comp_38e9529e8e84,sec_9d370c38febe,Small_business,ind_316195b443c6,14,103060
65,comp_03c68b3e6173,sec_9d8153193942,Small_business,ind_135b1d02b8a4,50,104055
66,comp_7d5925c6091f,sec_1bc3700e30b8,Micro,ind_34ea208071c4,500,105935
67,comp_0bdf7eb2872b,sec_07f5ebaa60c6,Public_Small_Medium,ind_d2091f85a3a3,200,106057
68,comp_b7268df8cc02,sec_07f5ebaa60c6,Public_Small_Medium,ind_f2f98412ca9a,100,107625
69,comp_cd296e1cc176,sec_9d8153193942,Small_business,ind_135b1d02b8a4,48,132237
70,comp_4c7d82489281,sec_9d8153193942,Medium_business,ind_135b1d02b8a4,659,109819
71,comp_9bd06005962d,sec_9d8153193942,Micro,ind_135b1d02b8a4,41,110411
72,comp_a0b574d84616,sec_28f0e3119b87,Large_business,ind_28f0e3119b87,300,144732
73,comp_fadc093e9954,sec_1bc3700e30b8,Public_Large,ind_5ffda163ccd7,1000,110945
74,comp_8857bb45b251,sec_9d8153193942,Small_business,ind_135b1d02b8a4,31,103699
75,comp_acd4eba12acb,sec_07f5ebaa60c6,Public_Small_Medium,ind_a6e9857962ea,100,111316
76,comp_aec0d3c60d18,sec_9d8153193942,Large_business,ind_135b1d02b8a4,469,113274
77,comp_4240005d9d46,sec_07f5ebaa60c6,Public_Small_Medium,ind_f2f98412ca9a,500,112150
78,comp_1288564a52ec,sec_e61177ed3f58,Business_Scale,ind_17fc30c258ad,1000,121792
79,comp_56858ad71027,sec_1bc3700e30b8,Public_Small_Medium,ind_24d25168a608,100,105939
80,comp_b7c029b5fb89,sec_28f0e3119b87,Small_business,ind_28f0e3119b87,100,102885
81,comp_e1f2176ac474,sec_9d370c38febe,Small_business,ind_316195b443c6,27,105040
82,comp_fb6051d9d68a,sec_none,Business_Scale,ind_c62262806778,5000,295029
83,comp_8894acf0d85c,sec_07f5ebaa60c6,Public_Large,ind_f2f98412ca9a,5000,115591
84,comp_de9a83cb5f00,sec_1bc3700e30b8,Public_Small_Medium,ind_70e651d86261,2,111195
85,comp_88af89b76141,sec_5fb21c55bb11,Large_business,ind_5fb21c55bb11,931,161870
86,comp_9abcaf99e7fe,sec_e61177ed3f58,Business_Scale,ind_17fc30c258ad,44,101134
87,comp_d7dca4c8c7ad,sec_9d370c38febe,Business_Scale,ind_316195b443c6,100,150075
88,comp_b7bf839f45d9,sec_e61177ed3f58,Large_business,ind_17fc30c258ad,46,109647
89,comp_ee93e721381f,sec_9d370c38febe,Medium_business,ind_316195b443c6,383,147013
